# ref_id x y z occupancy n_extra
337439 -1.85018228 -57.06419124 -5.38216715 2 1
337958 -1.90441082 -58.91749207 -3.61548810 2 1
358194 -5.38542779 -15.98513532 -24.95751484 2 1
358195 -5.35657287 -17.77313369 -23.09842451 2 1
358674 -5.52612526 -19.70516588 -21.40577448 2 1
358753 -7.29410209 -17.89060629 -21.46169145 2 1
358756 -7.27128378 -16.06188985 -19.76387405 2 1
359231 -9.00796627 -21.48568888 -16.04974185 2 1
359238 -1.95329372 -19.64719634 -17.83987525 2 1
359836 -42.92593520 -16.11808750 -12.51079876 2 1
359876 -7.30042019 -16.05000747 -12.46529682 2 1
359899 -39.30233951 -14.29611285 -14.38180112 2 1
360386 -48.15475383 -16.05065043 -10.70877855 2 1
360434 -5.42267743 -16.02399228 -10.77047638 2 1
360478 -5.36919808 -14.27334009 -8.98796979 2 1
362040 -3.56798668 -19.55371905 1.73896293 2 1
363715 -5.30076342 -21.36973099 12.48823080 2 1
363802 -69.82648508 -14.29667580 12.44739585 2 1
364284 -71.49969209 -16.01075845 16.07644814 2 1
364355 -5.40624291 -17.95561739 15.97556396 2 1
364914 -5.45784437 -16.08161955 17.76385629 2 1
364921 -71.31291834 -14.27642909 17.88035640 2 1
365469 -10.72981562 -17.83804830 21.39221727 2 1
366078 -5.31468736 -14.36706653 26.87992158 2 1
367195 -10.77144551 -14.21384552 32.12130669 2 1
367196 -9.11469064 -14.22810066 33.86919081 2 1
368200 -3.45556975 -19.62725950 40.98214973 2 1
368319 -3.53566326 -14.28552972 39.28644938 2 1
369435 -10.80582405 -14.38149219 46.38776638 2 1
369953 -7.23594767 -18.02975090 50.00765392 2 1
370433 -7.30900750 -21.49445593 53.58273644 2 1
370517 -3.66582590 -18.00041172 53.54144601 2 1
371118 -5.31487756 -14.40132188 58.97788635 2 1
371680 -1.83590414 -14.20207801 62.50306719 2 1
373086 -66.08552400 1.86946564 -71.36053251 2 1
