# id type pc1 pc2 pc3 dist_to_ref defect_type
364 1 -0.10872879 -0.05341300 0.02597878 0.12489152 Lattice
365 1 -0.09506229 -0.03761991 -0.00892618 0.10914314 Lattice
366 1 -0.08085630 -0.03960636 -0.00658001 0.09319232 Lattice
367 1 -0.10604264 -0.05058917 0.02881559 0.12587809 Lattice
368 1 -0.09944183 -0.06995828 0.02835594 0.12700307 Lattice
369 1 -0.10837032 -0.04912407 0.01269753 0.12008500 Lattice
370 1 -0.09421448 -0.02682975 -0.01195946 0.10482651 Lattice
371 1 0.08217025 -0.15573513 0.05718917 0.27762287 Unknown
372 1 -0.10009223 -0.03862080 -0.00034249 0.10957206 Lattice
373 1 -0.08558793 -0.09860775 0.05647264 0.16518495 Unknown
374 1 0.37413861 -0.29981517 0.15569754 0.74007282 Unknown
375 1 0.13188724 -0.26232182 0.15229145 0.78125821 Unknown
376 1 -0.08199797 -0.04326195 0.02398536 0.10168927 Lattice
377 1 0.45877193 -0.28288475 0.24393176 0.97759302 Unknown
378 1 0.36303109 -0.12358318 0.04440036 0.47176948 Unknown
379 1 -0.10622497 -0.04236522 0.00620523 0.11558046 Lattice
380 1 -0.10097043 -0.04185564 0.01485989 0.11043229 Lattice
381 1 -0.10260571 -0.03905781 0.00783227 0.11035142 Lattice
382 1 0.35367573 -0.20244934 -0.04297187 0.49540460 Unknown
383 1 -0.10791859 -0.04703800 0.01344297 0.11862205 Lattice
384 1 -0.10509672 -0.03980610 0.00591967 0.11331659 Lattice
385 1 -0.10694592 -0.04245327 0.00517394 0.11697966 Lattice
386 1 -0.10115692 -0.03270181 -0.00341040 0.10950132 Lattice
387 1 -0.10515828 -0.04078002 0.00779761 0.11349938 Lattice
388 1 -0.10497395 -0.05513859 0.02054312 0.12074611 Lattice
389 1 -0.10598997 -0.04144921 0.00698349 0.11473745 Lattice
390 1 -0.10460387 -0.04039954 0.01595878 0.11370359 Lattice
391 1 -0.10548719 -0.04047726 0.00324732 0.11486989 Lattice
392 1 -0.10430482 -0.04098641 0.00781754 0.11271334 Lattice
393 1 -0.10262421 -0.03598342 -0.00188750 0.11182809 Lattice
394 1 0.43245539 -0.17082738 -0.01424482 0.69291461 Unknown
